,leverage,ROA,log_assets,market_to_book,csr_indicator
leverage,1.0,0.0010144155058392193,-0.008221173953541858,-0.0003797172846050001,-0.018475689306694444
ROA,0.0010144155058392193,1.0,0.11012708202541768,-0.3640944716235298,0.031853145991402036
log_assets,-0.008221173953541858,0.11012708202541768,1.0,-0.04518885745155515,0.6488308483199318
market_to_book,-0.0003797172846050001,-0.3640944716235298,-0.04518885745155515,1.0,-0.006751728772872483
csr_indicator,-0.018475689306694444,0.031853145991402036,0.6488308483199318,-0.006751728772872483,1.0
