,leverage,ROA,log_assets,market_to_book,csr_indicator
count,31168.0,31168.0,31168.0,31168.0,31168.0
mean,9.150091351782804,-0.05291131065155628,12.064580502937204,0.003060791559523824,0.23739091375770022
std,215.2277786936819,2.2469252720014077,2.529115094924155,0.13623851867518458,0.4254906302347702
min,-1433.0,-329.25,0.0,0.0,0.0
25%,1.4737331249999999,-0.02521117615242872,10.259884957504969,0.0003782748440130663,0.0
50%,1.94637395,0.03594567587016948,11.921734973087116,0.0007882894928790146,0.0
75%,3.0079045,0.08298874118818178,13.805403653084984,0.0016056241829128168,0.0
max,26914.334,10.696507624200688,20.060096788172814,23.4,1.0
